UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,Grondslag,Grondslaglabel,Grondslaglink
aanwijzing diersoort aanvraag,http://standaarden.overheid.nl/owms/terms/aanwdiersaanv,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Reg_houders_dieren_art_2_2,Artikel 2.2 Regeling houders van dieren,https://wetten.overheid.nl/jci1.3:c:BWBR0035248&hoofdstuk=2&artikel=2.2
aanwijzing inzamelaar,http://standaarden.overheid.nl/owms/terms/aanwInzam,,,,X,,X,X,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_4,Artikel 4 Model Afvalstoffenverordening,
aanzegtermijn,http://standaarden.overheid.nl/owms/terms/aanzegtermijn,X,,,,,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_668,Artikel 668 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=10&afdeling=9&artikel=668
aardbevingsbestendige nieuwbouw groningen vergoeding,http://standaarden.overheid.nl/owms/terms/aardbevb_nwbw_gron_vergoeding,X,,,,X,X,,,,,X,X,,,http://standaarden.overheid.nl/owms/terms/Beleidsreg_verg_meerkn_aardbevbest_bouwen_art_3,Artikel 3 Beleidsregel vergoeding meerkosten aardbevingsbestendig bouwen Groningen 2022,https://wetten.overheid.nl/jci1.3:c:BWBR0046986&artikel=3
aardgasvrije huurwoning subsidie,http://standaarden.overheid.nl/owms/terms/aardgasvrijeHuurwSubsidie,X,,,,,X,,,,,X,X,,,http://standaarden.overheid.nl/owms/terms/StimregAardgvrHuurw_art_6,Artikel 6 Stimuleringsregeling aardgasvrije huurwoningen,https://wetten.overheid.nl/jci1.3:c:BWBR0043307&hoofdstuk=2&artikel=6
accijns,http://standaarden.overheid.nl/owms/terms/accijns,X,,,,,X,,A4;L2,,,,,,X,http://standaarden.overheid.nl/owms/terms/WA_art_1,Artikel 1 Wet op de accijns,https://wetten.overheid.nl/jci1.3:c:BWBR0005251&hoofdstuk=I&afdeling=1&artikel=1
achternaam gebruiksbeëindiging,http://standaarden.overheid.nl/owms/terms/achternGebrBeeind,X,,,,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_9,Artikel 9 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=2&artikel=9
achternaamwijziging,http://standaarden.overheid.nl/owms/terms/achternaamwijziging,X,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_7,Artikel 7 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=2&artikel=7
adoptie,http://standaarden.overheid.nl/owms/terms/adoptie,X,,,,X,,,G1,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_227,Artikel 227 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=12&artikel=227
adoptie aangifte,http://standaarden.overheid.nl/owms/terms/adoptie_aangifte,,,,X,X,,,,,X,,,,X,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_38,Artikel 2.38 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&paragraaf=5&artikel=2.38
adoptie- of pleegzorguitkering,http://standaarden.overheid.nl/owms/terms/adoptiePleegzUitk,X,,,,X,,,G1,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wazo_art_3_9,Artikel 3:9 Wet arbeid en zorg,https://wetten.overheid.nl/jci1.3:c:BWBR0013008&hoofdstuk=3&afdeling=2&paragraaf=1&artikel=3:9
adoptieherroeping,http://standaarden.overheid.nl/owms/terms/adoptieherroeping,X,,,,X,,,G1,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_231,Artikel 231 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=12&artikel=231
adr bestuurderscertificaat,http://standaarden.overheid.nl/owms/terms/adrbestcert,X,,,,X,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Eur_ovk_ADR,"Europese overeenkomst voor het internationale vervoer van gevaarlijke goederen over de weg (ADR), artikel 8.2.1.1",
adresonderzoek,http://standaarden.overheid.nl/owms/terms/adresonderzoek,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_60,Artikel 2.60 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&paragraaf=6&artikel=2.60
aed-apparaat,http://standaarden.overheid.nl/owms/terms/AEDapparaat,,,,X,X,X,,,,,,,,,,,
affectieschade,http://standaarden.overheid.nl/owms/terms/affectieschade,X,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_6_art_107,Artikel 107 Burgerlijk Wetboek Boek 6 ,https://wetten.overheid.nl/jci1.3:c:BWBR0005289&boek=6&titeldeel=1&afdeling=10&artikel=107
afgezette gebieden betreden ontheffing,http://standaarden.overheid.nl/owms/terms/afgezette_gebieden_betreden_ontheffing,,,,X,X,X,,,X,,X,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_1,Artikel 2:1 Model Algemene plaatselijke verordening,
aflosbedrag inburgeringslening verlaging,http://standaarden.overheid.nl/owms/terms/aflosbedrInburglenVerlag,X,,,,X,,,D4,,,X,,,,http://standaarden.overheid.nl/owms/terms/Besluit_inb_2021_art_6_10,Artikel 6.10 Besluit inburgering 2021,https://wetten.overheid.nl/jci1.3:c:BWBR0045555&hoofdstuk=6&afdeling=2&artikel=6.10
aflosbedrag studieschuld verlaging,http://standaarden.overheid.nl/owms/terms/aflosbedrStuSchldVerlag,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/WSF_art_6_12,Artikel 6.12 Wet studiefinanciering 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011453&hoofdstuk=6&paragraaf=6.1&artikel=6.10
afvalbeheersbijdrage,http://standaarden.overheid.nl/owms/terms/afvbehbijdr,X,,,,,X,,M9,,,,,,X,http://standaarden.overheid.nl/owms/terms/Besluit_beheer_verpakk_art_9,Artikel 9 Besluit beheer verpakkingen 2014,https://wetten.overheid.nl/jci1.3:c:BWBR0035711&paragraaf=5&artikel=9
afvalbeheersbijdrage vlakglas,http://standaarden.overheid.nl/owms/terms/afvbehbijdrvlhgl,X,,,,,X,,,,,,,,X,http://standaarden.overheid.nl/owms/terms/Ovk_verwijdbijdr_vlakglas,"Overeenkomst inzake de verwijderingsbijdrage voor vlakglas (Stcrt. 2016, 34134)",https://zoek.officielebekendmakingen.nl/stcrt-2016-34134.html
afvalcontainer,http://standaarden.overheid.nl/owms/terms/afvalcontainer,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_10,Artikel 10 Model Afvalstoffenverordening,
afvalinzamelaarslijst,http://standaarden.overheid.nl/owms/terms/afvalinzlst,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Biaf_art_2,Artikel 2 Besluit inzamelen afvalstoffen,https://wetten.overheid.nl/jci1.3:c:BWBR0016530&paragraaf=2&artikel=2
afvalinzameling blik,http://standaarden.overheid.nl/owms/terms/afvalinzBlik,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzameling chemisch afval,http://standaarden.overheid.nl/owms/terms/afvalinzameling_chemisch_afval,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzameling glas,http://standaarden.overheid.nl/owms/terms/afvalinzameling_glas,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzameling grofvuil,http://standaarden.overheid.nl/owms/terms/afvalinzameling_grofvuil,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzameling oud papier,http://standaarden.overheid.nl/owms/terms/afvalinzameling_oud_papier,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzameling plastic,http://standaarden.overheid.nl/owms/terms/afvalinzameling_plastic,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzameling plastic metaal drankenkartons,http://standaarden.overheid.nl/owms/terms/afvalInzPMDK,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzameling textiel,http://standaarden.overheid.nl/owms/terms/afvalinzameling_textiel,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzamelstation,http://standaarden.overheid.nl/owms/terms/afvalinzamelstation,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wm_art_10_22,Artikel 10.22 Wet milieubeheer,https://wetten.overheid.nl/jci1.3:c:BWBR0003245&hoofdstuk=10&titeldeel=10.4&artikel=10.22
afvalkalender,http://standaarden.overheid.nl/owms/terms/afvalkalender,,,,X,X,,,,,X,,,,,,,
afvalpas,http://standaarden.overheid.nl/owms/terms/afvalpas,,,,X,X,,,,,X,X,,,,,,
afvalstoffenbelasting,http://standaarden.overheid.nl/owms/terms/afvalstbel,X,,,,,X,,,,,,,,X,http://standaarden.overheid.nl/owms/terms/Wbm_art_23,Artikel 23 Wet belastingen op milieugrondslag,https://wetten.overheid.nl/jci1.3:c:BWBR0007168&hoofdstuk=IV&afdeling=2&artikel=23
afvalstoffenheffing,http://standaarden.overheid.nl/owms/terms/afvalstoffenheffing,,,,X,X,,,D1,X,,,,,X,http://standaarden.overheid.nl/owms/terms/WM_art_15_33,Artikel 15.33 Wet milieubeheer,https://wetten.overheid.nl/jci1.3:c:BWBR0003245&hoofdstuk=15&titeldeel=15.9&artikel=15.33
afvalstortontheffing,http://standaarden.overheid.nl/owms/terms/afvalstortontheffing,X,X,,,,X,X,M9,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Bssaf_art_6,Artikel 6 Besluit stortplaatsen en stortverboden afvalstoffen,https://wetten.overheid.nl/jci1.3:c:BWBR0009094&paragraaf=1&artikel=6
afvalvervoerskennisgeving,http://standaarden.overheid.nl/owms/terms/afvvervkg,X,,,,,X,X,,,,,,,X,http://standaarden.overheid.nl/owms/terms/Verord_EG_1013_2006_art_4,"Verordening (EG) Nr. 1013/2006 van het Europees Parlement en de raad van 14 juni 2006 betreffende de overbrenging van afvalstoffen, artikel 4",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32006R1013&from=NL#d1e4346-1-1
akte van de burgerlijke stand,http://standaarden.overheid.nl/owms/terms/akte_van_de_burgerlijke_stand,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_23b,Artikel 23b Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=4&afdeling=8&artikel=23b
alarmsirene,http://standaarden.overheid.nl/owms/terms/alarmsirene,,,,X,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wvr_art_25,Artikel 25 Wet veiligheidsregio's,https://wetten.overheid.nl/jci1.3:c:BWBR0027466&paragraaf=4&artikel=25
alcoholvergunning,http://standaarden.overheid.nl/owms/terms/alcoholvergunning,X,,,X,,X,X,N1,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Alcoholwet_art_3,Artikel 3 Alcoholwet,https://wetten.overheid.nl/jci1.3:c:BWBR0002458&paragraaf=2&artikel=3
algemene periodieke keuring,http://standaarden.overheid.nl/owms/terms/apk,X,,,,X,X,,C1,,,X,,,,http://standaarden.overheid.nl/owms/terms/WVW_art_72,Artikel 72 Wegenverkeerswet 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006622&hoofdstuk=V&paragraaf=2&artikel=72
algemene periodieke keuring bezwaar,http://standaarden.overheid.nl/owms/terms/apkBezw,X,,,,X,X,,C1,,,,,,,http://standaarden.overheid.nl/owms/terms/WVW_art_90,Artikel 90 Wegenverkeerswet 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006622&hoofdstuk=V&paragraaf=6&artikel=90
algemene periodieke keuring bezwaar,http://standaarden.overheid.nl/owms/terms/apkBezw,X,,,,X,X,,C1,,,,,,,http://standaarden.overheid.nl/owms/terms/WVW_art_91,Artikel 91 Wegenverkeerswet 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006622&hoofdstuk=V&paragraaf=6&artikel=91
alimentatie inning,http://standaarden.overheid.nl/owms/terms/alimentatieInning,X,,,,X,,,G1,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_408,Artikel 408 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=17&afdeling=2&artikel=408
amateurkunstsubsidie,http://standaarden.overheid.nl/owms/terms/amateurkunstsubsidie,,X,,X,X,,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
amateurkunstsubsidie,http://standaarden.overheid.nl/owms/terms/amateurkunstsubsidie,,X,,X,X,,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/pr_sub_vo,provinciale subsidieverordening,
ambtenaar burgerlijke stand,http://standaarden.overheid.nl/owms/terms/ambtBurgStnd,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_16,Artikel 16 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=4&afdeling=1&artikel=16
ambtshalve vermindering belastingaanslag,http://standaarden.overheid.nl/owms/terms/ambtshVermBelAansl,X,,,,X,X,,B4,,,,,,,http://standaarden.overheid.nl/owms/terms/AWR_art_65,Artikel 65 Algemene wet inzake rijksbelastingen,https://wetten.overheid.nl/jci1.3:c:BWBR0002320&hoofdstuk=VIII&afdeling=5&artikel=65
antenneregister inzage,http://standaarden.overheid.nl/owms/terms/antenneregInz,X,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Frequentiebesluit_2013_art_26,Artikel 26 Frequentiebesluit 2013,https://wetten.overheid.nl/jci1.3:c:BWBR0032895&hoofdstuk=4&artikel=26
antenneregister registratie,http://standaarden.overheid.nl/owms/terms/antenneregRegistr,X,,,,X,X,X,,,,,,,,http://standaarden.overheid.nl/owms/terms/Frequentiebesluit_2013_art_23,Artikel 23 Frequentiebesluit 2013,https://wetten.overheid.nl/jci1.3:c:BWBR0032895&hoofdstuk=4&artikel=23
antispeculatiebeding,http://standaarden.overheid.nl/owms/terms/antispeculatiebeding,,,,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_6_art_91,Artikel 91 Burgerlijk Wetboek Boek 6,https://wetten.overheid.nl/jci1.3:c:BWBR0005289&boek=6&titeldeel=1&afdeling=9&paragraaf=4&artikel=91
anw-uitkering,http://standaarden.overheid.nl/owms/terms/anw-uitkering,X,,,,X,,,G4,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Anw_art_14,Artikel 14 Algemene nabestaandenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0007795&hoofdstuk=3&afdeling=I&paragraaf=1&artikel=14
aor financiële ondersteuning,http://standaarden.overheid.nl/owms/terms/aorFinOnd,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/WUWVerzOorl_art_4,Artikel 4 Wet uitvoering wetten voor verzetsdeelnemers en oorlogsgetroffenen,https://wetten.overheid.nl/jci1.3:c:BWBR0027660&artikel=4
aow-uitkering,http://standaarden.overheid.nl/owms/terms/aow-uitkering,X,,,,X,,,B9,,X,X,,,,http://standaarden.overheid.nl/owms/terms/AOW_art_7,Artikel 7 Algemene Ouderdomswet,https://wetten.overheid.nl/jci1.3:c:BWBR0002221&hoofdstuk=III&paragraaf=1&artikel=7
arbeidsdeskundige-inschakeling,http://standaarden.overheid.nl/owms/terms/arbdeskinsch,X,,,,X,X,X,Q1,,,,,,X,http://standaarden.overheid.nl/owms/terms/Arbo_art_14,Artikel 14 Arbeidsomstandighedenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0010346&hoofdstuk=3&artikel=14
arbeidsmiddelenkeuring,http://standaarden.overheid.nl/owms/terms/arbmiddkeur,X,,,,,X,X,,,,,,,X,http://standaarden.overheid.nl/owms/terms/Arbo_art_7_4a,Artikel 7.4a Arbeidsomstandighedenbesluit,https://wetten.overheid.nl/jci1.3:c:BWBR0008498&hoofdstuk=7&afdeling=2&artikel=7.4a
arbeidsplaatsvoorziening,http://standaarden.overheid.nl/owms/terms/arbeidsplaatsvoorziening,X,,,,X,,,F4;B6,,,X,,,,,,
archeologische-vondstmelding,http://standaarden.overheid.nl/owms/terms/archvndstmld,X,,,,X,X,X,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Erfgoedwet_art_5_10,Artikel 5.10 Erfgoedwet,https://wetten.overheid.nl/jci1.3:c:BWBR0037521&hoofdstuk=5&paragraaf=5.4&artikel=5.10
archief inzage,http://standaarden.overheid.nl/owms/terms/archiefInzage,,,X,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Aw_1995_art_14,Artikel 14 Archiefwet 1995,https://wetten.overheid.nl/jci1.3:c:BWBR0007376&hoofdstuk=II&artikel=14
archiefbescheiden behoud voor raadpleging,http://standaarden.overheid.nl/owms/terms/archiefbescheiden_behoud_voor_raadpleging,,X,,,,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Aw_1995_art_13,Artikel 13 Archiefwet 1995,https://wetten.overheid.nl/jci1.3:c:BWBR0007376&hoofdstuk=II&artikel=13
architectenregister inzage,http://standaarden.overheid.nl/owms/terms/architRegInz,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/WArchTit_art_22,Artikel 22 Wet op de architectentitel,https://wetten.overheid.nl/jci1.3:c:BWBR0004189&hoofdstuk=V&artikel=22
asbestbevattende weg melding,http://standaarden.overheid.nl/owms/terms/asbestWegMelding,X,,,,X,X,,,,,,,,X,http://standaarden.overheid.nl/owms/terms/BeslAsbMilBeh_art_5,Artikel 5 Besluit asbestwegen milieubeheer,https://wetten.overheid.nl/jci1.3:c:BWBR0011619&paragraaf=2&artikel=5
asbestslachtoffer tegemoetkoming,http://standaarden.overheid.nl/owms/terms/asbestsloTgmk,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/RegTegAsb_art_3,Artikel 3 Regeling tegemoetkoming asbestslachtoffers 2014,https://wetten.overheid.nl/jci1.3:c:BWBR0035006&hoofdstuk=2&artikel=3
asbestslachtoffer tegemoetkoming,http://standaarden.overheid.nl/owms/terms/asbestsloTgmk,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/RegTegNLDSlaMesAsb_art_2,Artikel 2 Regeling tegemoetkoming niet-loondienstgerelateerde slachtoffers van mesothelioom en asbestose,https://wetten.overheid.nl/jci1.3:c:BWBR0022913&paragraaf=2&artikel=2
asbestverwijdering,http://standaarden.overheid.nl/owms/terms/asbestverwijdering,,,,X,X,X,X,,,X,,,X,,http://standaarden.overheid.nl/owms/terms/Bbl_art_7_10,Artikel 7.10 Besluit bouwwerken leefomgeving,https://wetten.overheid.nl/jci1.3:c:BWBR0041297&hoofdstuk=7&afdeling=7.1&paragraaf=7.1.3&artikel=7.10
asielzoekersopvang,http://standaarden.overheid.nl/owms/terms/asielzoekersopvang,,,,X,X,,,,,X,,,,,,,
assurantiebelasting,http://standaarden.overheid.nl/owms/terms/assurbel,X,,,,,X,,,,,,,,X,http://standaarden.overheid.nl/owms/terms/WBRV_art_20,Artikel 20 Wet op belastingen van rechtsverkeer,https://wetten.overheid.nl/jci1.3:c:BWBR0002740&hoofdstuk=III&afdeling=1&artikel=20
asverstrooiing,http://standaarden.overheid.nl/owms/terms/asverstrooiing,,,,X,X,X,X,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_5_36,Artikel 5:36 Model Algemene plaatselijke verordening,
auto-aanpassing,http://standaarden.overheid.nl/owms/terms/auto-aanpassing,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_3_1,Artikel 2.3.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&paragraaf=3&artikel=2.3.1
autobandeninnameverplichting,http://standaarden.overheid.nl/owms/terms/autobndinnverpl,X,,,,,X,X,,,,,,,X,http://standaarden.overheid.nl/owms/terms/Bbab_art_3,Artikel 3 Besluit beheer autobanden,https://wetten.overheid.nl/jci1.3:c:BWBR0016038&paragraaf=2&artikel=3
autogordels en kinderbeveiligingsmiddelen ontheffing,http://standaarden.overheid.nl/owms/terms/autogkbvmonth,X,,,,X,,,C5,,,,,,,http://standaarden.overheid.nl/owms/terms/WVW_art_149_lid_2,"Artikel 149, tweede lid, Wegenverkeerswet 1994",http://wetten.overheid.nl/jci1.3:c:BWBR0006622&hoofdstuk=VII&artikel=149
autohuur,http://standaarden.overheid.nl/owms/terms/autohuur,X,,,,X,,,H7,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_201,Artikel 201 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=4&afdeling=1&artikel=201
autokinderzitje,http://standaarden.overheid.nl/owms/terms/autokinderzitje,X,,,,,X,,,,,,,,X,http://standaarden.overheid.nl/owms/terms/RVV_art_59,Artikel 59 Reglement verkeersregels en verkeerstekens 1990,https://wetten.overheid.nl/jci1.3:c:BWBR0004825&hoofdstuk=II&paragraaf=27&artikel=59
automatische incasso of machtiging,http://standaarden.overheid.nl/owms/terms/automatische_incasso_of_machtiging,,,X,X,X,X,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_3_art_60,Artikel 60 Burgerlijk Wetboek Boek 3,https://wetten.overheid.nl/jci1.3:c:BWBR0005291&boek=3&titeldeel=3&artikel=60
baatbelasting,http://standaarden.overheid.nl/owms/terms/baatbelasting,X,,,X,X,X,,,X,,,,,X,http://standaarden.overheid.nl/owms/terms/Gemw_art_222,Artikel 222 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=IV&hoofdstuk=XV&paragraaf=3&artikel=222
badinrichting,http://standaarden.overheid.nl/owms/terms/badinrichting,X,X,,,X,X,X,J1,,X,,,X,,http://standaarden.overheid.nl/owms/terms/Whvbz_art_10,Artikel 10 Wet hygiëne en veiligheid badinrichtingen en zwemgelegenheden,https://wetten.overheid.nl/jci1.3:c:BWBR0002660&artikel=10
badinrichting legionellapreventie,http://standaarden.overheid.nl/owms/terms/badinrichting_legionellapreventie,X,X,,,,X,X,N2,,X,,,,X,http://standaarden.overheid.nl/owms/terms/BHVZ_art_2a,Artikel 2a Besluit hygiëne en veiligheid badinrichtingen en zwemgelegenheden,https://wetten.overheid.nl/jci1.3:c:BWBR0003716&hoofdstuk=II&paragraaf=1a&artikel=2a
badinrichting ontheffing,http://standaarden.overheid.nl/owms/terms/badinrichting_ontheffing,,X,,,,X,X,N1,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Whvbz_art_5,Artikel 5 Wet hygiëne en veiligheid badinrichtingen en zwemgelegenheden,https://wetten.overheid.nl/jci1.3:c:BWBR0002660&artikel=5
bag inzage,http://standaarden.overheid.nl/owms/terms/bagInz,,,,X,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wet_BAG_art_32,Artikel 32 Wet basisregistratie adressen en gebouwen,https://wetten.overheid.nl/jci1.3:c:BWBR0023466&hoofdstuk=5&paragraaf=1&artikel=32
